ny,beds,bath,year_built,sqft,price_per_sqft,elevation,price
1,2,2,2007,808,964,7,779000
1,2,2,2010,1135,965,30,1095000
1,0,1,1900,510,978,91,499000
1,0,1,1900,510,978,91,499000
1,3,2,1927,1520,984,105,1495000
1,3,2,1926,1800,999,66,1799000
1,3,2,1926,1800,999,66,1799000
1,2,2,1984,988,1001,46,989000
1,1,2,1998,1086,1002,6,1088000
1,1,1,1922,694,1004,50,697000
1,2,2,1937,1640,1006,7,1650000
1,2,2,1995,1930,1010,4,1950000
1,3,3.5,1922,2168,1012,125,2195000
1,3,2,1929,2323,1031,73,2395000
1,1,1,1926,769,1038,10,798000
1,1,1,1926,769,1038,10,798000
1,3,3,1922,1915,1042,88,1995000
1,2,2,2001,1334,1046,4,1395000
1,2,2,2005,915,1047,54,958000
1,2,1.5,1925,1360,1048,14,1425000
1,2,2,2008,1620,1048,1,1698000
1,2,2,2008,1620,1048,1,1698000
1,1,1,1906,1139,1053,91,1199000
1,3,2,1961,1515,1053,103,1595000
1,2,2,2007,1610,1053,2,1695000
1,2,2,2012,1562,1072,2,1675000
1,2,2,1907,1756,1079,54,1895000
1,4,4.5,1952,4813,1080,238,5200000
1,1,1,1955,600,1083,74,650000
1,1,1,1955,600,1083,74,650000
1,2,2,1964,1100,1090,68,1199000
1,3,2,1922,1483,1113,106,1650000
1,1,1,1978,884,1114,11,985000
1,1,1,2005,534,1120,5,598000
1,2,2,2008,1159,1120,0,1298000
1,1,1,2006,872,1144,3,998000
1,1,1,2010,824,1152,8,949000
1,3,2,2012,1921,1155,13,2219000
1,4,3,1931,3017,1192,9,3595000
1,5,3.5,1905,3350,1193,59,3995000
1,2,2,1922,1415,1219,86,1725000
1,4,4,1900,3085,1219,49,3760000
1,4,4,1894,3085,1219,49,3760000
1,2,2,2014,943,1271,20,1199000
1,2,2,1913,1174,1273,35,1495000
1,1,2,2014,616,1291,31,795000
1,1,1,1955,600,1292,74,775000
1,4,4,2006,3321,1295,10,4300000
1,2,2,1925,1518,1318,50,2000000
1,1,1,2014,507,1321,20,670000
1,2,2,2009,1469,1348,0,1980000
1,2,2,1987,1250,1360,11,1700000
1,2,2,2002,1173,1364,7,1600000
1,3,2.5,2013,2075,1373,5,2850000
1,1,1,1955,600,1375,74,825000
1,2,2.5,1940,1809,1379,48,2495000
1,2,2.5,1940,1809,1379,48,2495000
1,5,3.5,1906,4609,1409,89,6495000
1,2,2,2000,1165,1424,4,1659000
1,3,2,2006,1362,1465,3,1995000
1,2,2,1989,3700,1608,83,5950000
1,2,2,2008,1317,1632,0,2149000
1,4,3.5,2008,6024,1643,62,9895000
1,2,1,1908,600,1658,36,995000
1,6,6.5,1937,5420,1753,3,9500000
1,5,2,1914,3585,1757,26,6298000
1,2,2.5,1900,1968,1776,76,3495000
1,2,2.5,2008,1314,1788,19,2350000
1,2,2,2008,1328,2108,35,2799000
1,2,2,2009,1652,2179,0,3600000
1,2,3,2009,2230,2240,0,4995000
1,4,4,2009,NaN,2000,100,3249000
1,3,3,2009,NaN,NaN,NaN,NaN
1,5,2,2009,3585,2108,NaN,NaN
1,8,6,2009,1643,3585,36,3249000
1,6,5,2009,NaN,1409,76,2350000
1,3,1,2009,1165,NaN,100,NAN
